trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
59,Graph Attention Network,UnidirectionalVirtualClassNode(),3.185924915517705,0.0353883700314596,0.001,0.0045751716498276,0.8281289242360821,0.471310555934906,0.6932241250930752,0.2851403057575226,0.6870421823692852,0.6332885267251407,,0.9686903953552246,0.5739123225212097,0.6859741334171722,0.5020831170608395
60,Graph Attention Network,UnidirectionalVirtualClassNode(),3.180775406626745,0.0370782618024314,0.001,0.0045465410681167,0.7749686061113437,0.6547674536705017,0.6986845371059817,0.4577917456626892,0.6847688810305633,0.6258014474199641,,0.9527333378791808,0.5882319808006287,0.6826790098123726,0.4885112434064998
61,Graph Attention Network,UnidirectionalVirtualClassNode(),3.178993740612306,0.0511033420978613,0.001,0.0044253628108378,0.8360820426956885,0.432013064622879,0.696698932737652,0.2288844734430313,0.6905784288961859,0.6388897115975573,,0.9651697874069214,0.5575993061065674,0.6899283364854435,0.5110399068893725
62,Graph Attention Network,UnidirectionalVirtualClassNode(),3.2453950325187293,0.0534885188902179,0.001,0.004498858120825,0.8115529510255337,0.5137229561805725,0.6986845371059817,0.3178403079509735,0.6908310179338216,0.6383940091562443,,0.9714210033416748,0.5837550163269043,0.6898424137674478,0.5074467300545868
63,Graph Attention Network,UnidirectionalVirtualClassNode(),3.15362473654048,0.0522471941686303,0.001,0.0038328398457523,0.8015069066555044,0.5601345300674438,0.7009183420203524,0.3669798076152801,0.6908310179338216,0.6323551724224904,,0.9594176411628724,0.5791926383972168,0.6887336617482884,0.482578664772913
64,Graph Attention Network,UnidirectionalVirtualClassNode(),4.118599623863733,0.0570518031423018,0.001,0.0038646297616573,0.7970699037254081,0.5796166658401489,0.6969471332836932,0.3698648810386657,0.6866632988128315,0.6248217885581111,,0.9625878930091858,0.5873419046401978,0.6835914311610124,0.4765751928321688
65,Graph Attention Network,UnidirectionalVirtualClassNode(),3.0386026808189124,0.0593587718532095,0.001,0.0059768565582268,0.7500209292591042,0.7885532975196838,0.6949615289153637,0.5596974492073059,0.6819904016165699,0.6207796200855951,,0.9575841426849364,0.6125234365463257,0.6792177465481214,0.491102877208339
66,Graph Attention Network,UnidirectionalVirtualClassNode(),3.3569199126562523,0.0291190462731295,0.001,0.0045488762720645,0.7085809962327334,1.0686496496200562,0.6753536857781087,0.8433055877685547,0.6682242990654206,0.601048210324374,,0.932747721672058,0.6195478439331055,0.6642963364774441,0.436543554439829
67,Graph Attention Network,UnidirectionalVirtualClassNode(),2.5235489804191027,0.0490327353099762,0.001,0.0039031364081803,0.6958560066973629,1.0556552410125732,0.6785802928766443,0.8147932887077332,0.6672139429148775,0.6071382155135753,,0.9370604753494264,0.6245808601379395,0.6656839664091443,0.467222010532158
68,Graph Attention Network,UnidirectionalVirtualClassNode(),3.950501875008296,0.0851715697047239,0.01,0.0058222556009715,0.5826705734616995,1.5837494134902954,0.6569868453710598,1.201270341873169,0.6510482445061885,0.5797714048745934,,0.8390465974807739,0.5612627267837524,0.6459151595531096,0.471785018324125
